 #header line: GPU processors,avg,error_bar,run1,run2,run3
 1,25.72773556,0.0358607549999999,25.70216094,25.70716329,25.77388245
 4,25.7941856433333,0.0293896799999995,25.75774651,25.80828455,25.81652587
 8,26.2431082,0.45998919,25.98227546,25.91353538,26.83351376
 12,26.2914967866667,0.470610324999999,26.05242111,26.88164495,25.9404243
 16,26.34207194,0.0769664700000003,26.3961914,26.24225846,26.38776596
 20,26.57089598,0.0501170650000002,26.53019981,26.55205419,26.63043394
 24,26.9002950966667,0.115197915,27.02231835,26.88664442,26.79192252
 28,29.1704857066667,0.109840009999999,29.26175374,29.04207372,29.20762966
 32,29.4040105766667,0.0469463450000003,29.36071287,29.45460556,29.3967133
 36,29.8379492933333,0.0113543449999991,29.851685,29.83318657,29.82897631
 40,30.19525416,0.00781583000000019,30.18892933,30.19227216,30.20456099
 44,31.6180857966667,1.07701615,31.98834111,32.50997429,30.35594199
 48,31.71030563,0.621033650000001,31.03724466,32.27931196,31.81436027
