 #header line: GPU processors,avg,error_bar,run1,run2,run3
 1,257.925423976667,0.856458650000008,257.71370405,258.88774259,257.17482529
 4,64.3865858966667,0.00522278000000398,64.38569031,64.39225647,64.38181091
 8,32.37604282,0.196961810000001,32.26509424,32.62847892,32.2345553
 12,21.6705208066667,0.0781718749999989,21.60783237,21.76417612,21.63955393
 16,16.3696356766667,0.00727779000000162,16.37083897,16.36175624,16.37631182
 20,13.3307977033333,0.0662674150000004,13.39874743,13.32743308,13.2662126
 24,11.19092504,0.0316065549999998,11.21223173,11.21152477,11.14901862
 28,10.4439240733333,0.127610825000001,10.32981242,10.58503407,10.41692573
 32,9.38337317666667,0.0905625049999994,9.38384896,9.47369779,9.29257278
 36,8.35228892666667,0.111840555000001,8.45940213,8.36174363,8.23572102
 40,7.60242029333333,0.07734329,7.66043806,7.64107134,7.50575148
 44,6.97688960666667,0.0853238849999998,6.89581757,6.96838591,7.06646534
 48,6.68920441,0.19650298,6.77605895,6.84228012,6.44927416
