 #header line: GPU processors,avg,error_bar,run1,run2,run3
 1,2.57539624,0.00336484999999986,2.57111356,2.57784326,2.5772319
 4,2.58084384666667,0.000819459999999994,2.58166007,2.58002115,2.58085032
 8,2.58262429666667,0.00778526000000013,2.59166613,2.58011115,2.57609561
 12,2.59728960666667,0.0049057400000001,2.60368844,2.59387696,2.59430342
 16,2.63352107666667,0.0130457349999999,2.65014769,2.62405622,2.62635932
 20,2.65491328333333,0.00186552000000018,2.6573296,2.65359856,2.65381169
 24,2.68765653666667,0.00880526500000012,2.68560452,2.69748781,2.67987728
 28,2.90226907333333,0.00699664000000011,2.89758713,2.89763968,2.91158041
 32,2.92425392,0.010996395,2.92632325,2.91222286,2.93421565
 36,2.95239648333333,0.01311734,2.9618231,2.93558842,2.95977793
 40,3.09064325,0.12027082,2.99395777,3.04347257,3.23449941
 44,3.10065128,0.00947127999999986,3.09763184,3.11163228,3.09268972
 48,3.17029686,0.0234145400000001,3.14330301,3.19013209,3.17745548 
