 #header line: GPU processors,avg,error_bar,run1,run2,run3
 1,25.7509893,0.0348743349999996,25.7765538,25.76960897,25.70680513
 4,6.44111912666667,0.00180578500000017,6.44303539,6.44089817,6.43942382
 8,3.22790852,0.01090043,3.24201241,3.2215016,3.22021155
 12,2.18968635666667,0.0413476150000001,2.1613748,2.24407003,2.16361424
 16,1.63838858,0.00332167000000005,1.64162522,1.63498188,1.63855864
 20,1.34927261,0.02203859,1.37604022,1.33196304,1.33981457
 24,1.13787743333333,0.0308750299999999,1.17572266,1.1139726,1.12393704
 28,1.04886355666667,0.0147813099999999,1.05064595,1.06275367,1.03319105
 32,0.933504603333333,0.00596256000000001,0.94106516,0.92914004,0.93030861
 36,0.88168156,0.04363815,0.8839979,0.83688524,0.92416154
 40,0.79549653,0.008296105,0.79185202,0.80561489,0.78902268
 44,0.765449026666667,0.03932039,0.80902926,0.75692934,0.73038848
 48,0.72974374,0.073528715,0.70199451,0.81714707,0.67008964 
