 #P, elapsed
 1,  42:59.00
 4,  10:45.15
 8,  5:28.02
 12, 3:36.90
 16, 2:46.89
 20,  2:16.80
 24,  1:52.46
 28,  1:45.42
 32,  1:33.14
 36,  1:25.38
 40,  1:20.77
 44,  1:12.24
 48,  1:06.02
