 #P, elapsed
 1,  0:02.82
 4,  0:02.89 
 8,  0:02.93
 12,  0:02.99
 16,  0:03.08
 20,  0:03.16
 24,  0:03.27
 28,  0:03.62
 32,  0:03.69
 36,  0:03.80
 40,  0:04.01
 44,  0:04.19
 48,  0:04.39
