#header line: avg,error_bar,run1,run2,run3
 1,  , , 257.15305463  ,  257.06155026  ,  258.42245415  
 4,  , ,257.30419516  ,  271.35661607  ,  257.84131905  
 8,  , ,260.60113254  ,  259.73218974  ,  259.92659684  
 12, , ,258.04933742  ,  261.90421057  ,  260.21190904  
 16,  , ,264.82987931  ,  262.42204917  ,  262.42080969  
 20,  , ,265.56130652  ,  265.65005778  ,  268.48619308  
 24,  , ,269.82799813  ,  270.69877341  ,  268.83380414  
 28,  , ,288.47654282  ,  297.62672045  ,  289.62462319  
 32,  , ,293.47725740  ,  297.39150715  ,  304.65646519  
 36,  , ,297.63463662  ,  296.23341303  ,  307.66285581  
 40,  , ,302.99558852  ,  306.06971229  ,  302.51627149  
 44,  , ,303.36026238  ,  303.37372252  ,  308.74513978  
 48,  , ,307.07213620  ,  304.89798954  ,  305.44297904  
