 #P, elapsed
 1,0:02.83
 4,0:00.96
 8,0:00.66  
 12,0:00.61
 16,0:00.61
 20,0:00.63
 24,0:00.68
 28,0:00.79
 32,0:00.86
 36,0:01.00
 40,0:01.08
 44,0:01.21
 48,0:01.40
