 #header line: avg,error_bar,run1,run2,run3
 1,   , ,2.57696954  ,  2.57718357  ,  2.57034723 
 4,   , ,0.64816756  ,  0.64926512  ,  0.64860009  
 8,   , ,0.32357957  ,  0.32205714  ,  0.32338563  
 12,  , ,0.21555149  ,  0.21624524  ,  0.21526764  
 16,  , ,0.16894262  ,  0.17057471  ,  0.16713976  
 20,  , ,0.13397902  ,  0.13580016  ,  0.13268151  
 24,  , ,0.11509613  ,  0.11621182  ,  0.11652105  
 28,  , ,0.10395761  ,  0.10335577  ,  0.10585627  
 32,  , ,0.10254860  ,  0.11184888  ,  0.11847834  
 36,  , ,0.13151900  ,  0.11741714  ,  0.13156611  
 40,  , ,0.10509448  ,  0.14502711  ,  0.09502418  
 44,  , ,0.10959396  ,  0.09139713  ,  0.10142159  
 48,  , ,0.19426582  ,  0.13322560  ,  0.16849899
