 #P, elapsed
 1,  0:26.04
 4,  0:26.07
 8,  0:26.28
 12,  0:26.46
 16,  0:26.84
 20,  0:27.15
 24,  0:27.62
 28,  0:29.93
 32,  0:30.16
 36,  0:30.71
 40,  0:31.24
 44,  0:32.05
 48,  0:32.22
