 #P, elapsed
 1,  0:26.04
 4,  0:06.76
 8,  0:03.59
 12,  0:02.57
 16,  0:02.08
 20,  0:01.84
 24,  0:01.75
 28,  0:01.75
 32,  0:01.68
 36,  0:01.75
 40,  0:01.73
 44,  0:01.90
 48,  0:01.86
