#header line: avg,error_bar,run1,run2,run3
 1, , , 2.57111356  ,  2.57784326  ,  2.57723190  
 4,  , ,2.58166007  ,  2.58002115  ,  2.58085032  
 8,  , ,2.59166613  ,  2.58011115  ,  2.57609561  
 12,  , ,2.60368844  ,  2.59387696  ,  2.59430342  
 16,  , ,2.65014769  ,  2.62405622  ,  2.62635932  
 20,  , ,2.65732960  ,  2.65359856  ,  2.65381169  
 24,  , ,2.68560452  ,  2.69748781  ,  2.67987728  
 28,  , ,2.89758713  ,  2.89763968  ,  2.91158041  
 32,  , ,2.92632325  ,  2.91222286  ,  2.93421565  
 36,  , ,2.96182310  ,  2.93558842  ,  2.95977793  
 40,  , ,2.99395777  ,  3.04347257  ,  3.23449941  
 44,  , ,3.09763184  ,  3.11163228  ,  3.09268972  
 48,  , ,3.14330301  ,  3.19013209  ,  3.17745548  
