#header line: avg,error_bar,run1,run2,run3
 1,   , ,25.77655380  ,  25.76960897  ,  25.70680513  
 4,   , ,6.44303539  ,  6.44089817  ,  6.43942382  
 8,   , ,3.24201241  ,  3.22150160  ,  3.22021155  
 12,  , ,2.16137480  ,  2.24407003  ,  2.16361424  
 16,  , ,1.64162522  ,  1.63498188  ,  1.63855864  
 20,  , ,1.37604022  ,  1.33196304  ,  1.33981457  
 24,  , ,1.17572266  ,  1.11397260  ,  1.12393704  
 28,  , ,1.05064595  ,  1.06275367  ,  1.03319105  
 32,  , ,0.94106516  ,  0.92914004  ,  0.93030861  
 36,  , ,0.88399790  ,  0.83688524  ,  0.92416154  
 40,  , ,0.79185202  ,  0.80561489  ,  0.78902268  
 44,  , ,0.80902926  ,  0.75692934  ,  0.73038848  
 48,  , ,0.70199451  ,  0.81714707  ,  0.67008964  
