 #P, elapsed
 1,  4:18.73
 4,  4:19.18
 8,  4:20.32
 12, 4:20.65
 16, 4:25.32
 20, 4:26.11
 24, 4:31.32
 28, 4:53.21
 32, 5:05.45
 36, 5:08.52
 40, 5:03.99
 44, 5:04.53
 48, 5:06.18
